ID	Name	unknown_6	
10000	FP Restoration upon Successive Attacks	-1	
10001	Taking attacks improves attack power	-1	
10002	Switching Weapons Boosts Attack Power	-1	
11000	[Wylder] +1 additional Character Skill use	-1	
11001	Flask Also Heals Allies	-1	
11002	[Wylder] Art gauge greatly filled when ability is activated	-1	
12000	[Guardian] Increased duration for Character Skill	-1	
12001	Art gauge charged from successful guarding	-1	
12002	[Guardian] Slowly restores nearby allies' HP while Art is active	-1	
12003	[Guardian] Slowly restores nearby allies' HP while Art is active	-1	
13000	Physical attack power increases after using grease items	-1	
13001	Critical Hits Earn Runes	-1	
13002	Improved Attack Power with 3+ Bows Equipped	-1	
14000	[Duchess] Successive dagger attack reprises event upon nearby enemies	-1	
14001	[Duchess] Become difficult to spot and silence footsteps after landing critical from behind	-1	
14002	Slowly restore HP for self and nearby allies when HP is low	-1	
15000	[Raider] Duration of Ultimate Art extended	-1	
15001	[Raider] Damage taken while using Character Skill improves attack power and stamina	-1	
15002	Defeating enemies near Totem Stela restores HP	-1	
16000	[Revenant] Strengthens family and allies when Ultimate Art is activated	-1	
16001	Increased rune acquisition for self and allies	-1	
16002	[Revenant] Expend own HP to fully heal nearby allies when activating Art	-1	
17000	Attack power increased for each evergaol prisoner defeated	-1	
17001	Max FP Up with 3+ Staves Equipped	-1	
17002	[Recluse] Suffer blood loss and increase attack power upon Art activation	-1	
18000	HP restored when using medicinal boluses, etc.	-1	
18001	Art gauge fills moderately upon critical hit	-1	
18002	[Executor] Roaring restores HP while Art is active	-1	
100000	Taking attacks improves attack power	-1	
310000	Increased Maximum HP	-1	
310100	Increased Maximum FP	-1	
310200	Increased Maximum Stamina	-1	
310400	Increased Maximum HP	-1	
310401	Increased Maximum Stamina	-1	
311000	Improved Item Discovery	-1	
311100	More Runes From Defeated Enemies	-1	
311500	Improved Stamina Recovery	-1	
311600	Improved Blood Loss Resistance	-1	
311601	Improved Frost Resistance	-1	
311700	Improved Poison Resistance	-1	
311701	Improved Rot Resistance	-1	
311800	Improved Sleep Resistance	-1	
311801	Improved Madness Resistance	-1	
311900	Improved Death Blight Resistance	-1	
312000	Improved Poison & Rot Resistance	-1	
312001	Improved Blood Loss & Frost Resistance	-1	
312002	Improved Sleep & Madness Resistance	-1	
312100	Improved Poise	-1	
312300	Improved Skill Attack Power	-1	
312500	Improved Dexterity	-1	
312501	Successive Attacks Boost Attack Power	-1	
320000	Improved Magic Attack Power	-1	
320001	Impaired Physical Damage Negation	-1	
320100	Improved Lightning Attack Power	-1	
320101	Impaired Physical Damage Negation	-1	
320200	Improved Fire Attack Power	-1	
320201	Impaired Physical Damage Negation	-1	
320300	Improved Holy Attack Power	-1	
320301	Impaired Physical Damage Negation	-1	
320400	Improved Attack Power at Low HP	-1	
320500	Improved Attack Power at Full HP	-1	
320600	Improved Thrusting Counterattack	-1	
320700	Improved Guard Breaking	-1	
320800	Successive Attacks Boost Attack Power	-1	
320801	null	-1	
320900	Improved Critical Hits	-1	
321000	Projectile Damage Drop-Off Reduced	-1	
321200	Improved Chain Attack Finishers	-1	
321300	Improved Charge Attacks	-1	
321500	Improved Ranged Weapon Attacks	-1	
321600	Blood Loss in Vicinity Increases Attack Power	-1	
321700	Poison & Rot in Vicinity Increases Attack Power	-1	
321800	Improved Jump Attacks	-1	
321900	Improved Roar & Breath Attacks	-1	
322000	Improved Guard Counters	-1	
322100	Improved Throwing Pots	-1	
322200	Improved Perfuming Arts	-1	
330000	Improved Sorceries	-1	
330400	Improved Incantations	-1	
330600	Extended Spell Duration	-1	
330700	Improved Spell Casting Speed	-1	
330800	Reduced Spell FP Cost	-1	
330801	Maximum HP Down	-1	
330900	Improved Charged Spells & Skills	-1	
340000	Improved Physical Damage Negation	-1	
340100	Improved Magic Damage Negation	-1	
340200	Improved Fire Damage Negation	-1	
340300	Improved Lightning Damage Negation	-1	
340400	Improved Holy Damage Negation	-1	
340500	Improved Affinity Damage Negation	-1	
340700	Improved Dodging	-1	
340701	Impaired Damage Negation	-1	
340800	Improved Damage Negation at Low HP	-1	
340900	Improved Damage Negation at Full HP	-1	
341000	Improved Guarding Ability	-1	
350000	Improved Flask HP Restoration	-1	
350200	Continuous HP Recovery	-1	
350300	Defeating Enemies Restores HP	-1	
350400	Successive Attack HP Restoration	-1	
350500	Critical Hit HP Restoration	-1	
350600	Critical Hit FP Restoration	-1	
360200	Reduced Skill FP Cost	-1	
360700	No Rune Loss or Level Down Upon Death	-1	
361100	Defeating Enemies Restores FP	-1	
370000	Improved Item Discovery	-1	
370001	More Runes From Defeated Enemies	-1	
370002	Continuous HP Loss	-1	
6001400	Physical Attack Up +3	100	
6001401	Physical Attack Up +4	100	
6001500	Magic Attack Power Up +3	100	
6001501	Magic Attack Power Up +4	100	
6001600	Fire Attack Power Up +3	100	
6001601	Fire Attack Power Up +4	100	
6001700	Lightning Attack Power Up +3	100	
6001701	Lightning Attack Power Up +4	100	
6001800	Holy Attack Power Up +3	100	
6001801	Holy Attack Power Up +4	100	
6002600	Improved Magic Damage Negation +1	7002600	
6002601	Improved Magic Damage Negation +2	7002600	
6002700	Improved Fire Damage Negation +1	7002700	
6002701	Improved Fire Damage Negation +2	7002700	
6002800	Improved Lightning Damage Negation +1	7002800	
6002801	Improved Lightning Damage Negation +2	7002800	
6002900	Improved Holy Damage Negation +1	7002900	
6002901	Improved Holy Damage Negation +2	7002900	
6003000	Improved Poison Resistance +1	7003000	
6003001	Improved Poison Resistance +2	7003000	
6003100	Improved Blood Loss Resistance +1	7003100	
6003101	Improved Blood Loss Resistance +2	7003100	
6003200	Improved Sleep Resistance +1	7003200	
6003201	Improved Sleep Resistance +2	7003200	
6003300	Improved Death Blight Resistance +1	7003300	
6003301	Improved Death Blight Resistance +2	7003300	
6003400	Improved Rot Resistance +1	7003400	
6003401	Improved Rot Resistance +2	7003400	
6003500	Improved Frost Resistance +1	7003500	
6003501	Improved Frost Resistance +2	7003500	
6003600	Improved Madness Resistance +1	7003600	
